city,neighborhood,neighborhood_is_generic,property_type,surface_m2,bedrooms,bathrooms,floor,price_dh,floor_known,surface_known,rooms_info_known,floor_appartement
Safi,had_soualem,False,Appartement,135.0,3.0,2.0,1.0,1620000.0,1,1,1,1.0
Safi,autre_secteur,True,Appartement,86.0,2.0,1.0,0.0,640000.0,1,1,1,0.0
Safi,centre,True,Appartement,66.0,2.0,1.0,3.0,3560000.0,1,1,1,3.0
Safi,hay_essalam,False,Appartement,72.0,3.0,2.0,1.0,150000.0,1,1,1,1.0
Safi,hay_essalam,False,Appartement,178.0,2.0,1.0,1.0,1625000.0,1,1,1,1.0
Safi,autre_secteur,True,Appartement,63.0,2.0,1.0,1.0,1400000.0,1,1,1,1.0
Safi,centre,True,Appartement,86.0,2.0,2.0,3.0,3860000.0,1,1,1,3.0
Safi,najd,False,Appartement,66.0,3.0,1.0,3.0,3420000.0,1,1,0,3.0
Safi,autre_secteur,True,Appartement,70.0,3.0,0.0,1.0,1600000.0,1,1,1,1.0
Safi,autre_secteur,True,Appartement,134.0,4.0,2.0,1.0,1700000.0,1,1,1,1.0
Safi,autre_secteur,True,Appartement,80.0,2.0,1.0,0.0,900000.0,1,1,1,0.0
Safi,had_soualem,False,Appartement,111.0,3.0,2.0,3.0,3630000.0,1,1,1,3.0
Safi,alaouiyine,False,Appartement,64.0,2.0,1.0,1.0,1520000.0,1,1,1,1.0
Safi,al_kodia,False,Appartement,78.0,3.0,1.0,0.0,560000.0,1,1,1,0.0
Safi,autre_secteur,True,Appartement,56.0,2.0,1.0,1.0,1360000.0,1,1,1,1.0
Safi,quartier_aérodrome,False,Appartement,77.0,2.0,2.0,4.0,4560000.0,1,1,1,4.0
Safi,hay_al_amal,False,Appartement,64.0,2.0,1.0,2.0,2425000.0,1,1,1,2.0
Safi,al_boustane,False,Appartement,110.0,3.0,2.0,1.0,1800000.0,1,1,1,1.0
Safi,autre_secteur,True,Appartement,92.0,3.0,2.0,1.0,1560000.0,1,1,1,1.0
Safi,narjiss,False,Appartement,94.0,2.0,1.0,unknown,560000.0,0,1,1,unknown
